original	new
i	w_1
the	w_2
you	w_3
to	w_4
and	w_5
a	w_6
me	w_7
it	w_8
my	w_9
is	w_10
of	w_11
your	w_12
that	w_13
are	w_14
we	w_15
am	w_16
will	w_17
for	w_18
be	w_19
have	w_20
so	w_21
this	w_22
like	w_23
de	w_24
up	w_25
was	w_26
if	w_27
got	w_28
would	w_29
been	w_30
these	w_31
seem	w_32
someon	w_33
understand	w_34
pass	w_35
river	w_36
met	w_37
piec	w_38
damn	w_39
worth	w_40
flesh	w_41
grace	w_42
poor	w_43
somehow	w_44
ignor	w_45
passion	w_46
tide	w_47
season	w_48
seed	w_49
resist	w_50
order	w_51
piti	w_52
fashion	w_53
grant	w_54
captur	w_55
ici	w_56
soil	w_57
patienc	w_58
social	w_59
highest	w_60
slice	w_61
leaf	w_62
lifeless	w_63
arrang	w_64
wilder	w_65
shark	w_66
devast	w_67
element	w_68
pido	w_69
defend	w_70
hatr	w_71
pide	w_72
yellow	w_73
four	w_74
sleev	w_75
sleep	w_76
astray	w_77
upsid	w_78
climb	w_79
captain	w_80
hate	w_81
yonder	w_82
forget	w_83
otro	w_84
whose	w_85
accus	w_86
pardon	w_87
auf	w_88
erst	w_89
sorri	w_90
sweetest	w_91
otra	w_92
igual	w_93
aus	w_94
concret	w_95
certain	w_96
buddi	w_97
daze	w_98
under	w_99
lord	w_100
pride	w_101
sway	w_102
lonesom	w_103
digit	w_104
callin	w_105
everi	w_106
risk	w_107
neue	w_108
void	w_109
rise	w_110
lurk	w_111
voic	w_112
distort	w_113
risa	w_114
smack	w_115
stolen	w_116
jack	w_117
voix	w_118
govern	w_119
affect	w_120
voit	w_121
fuego	w_122
voir	w_123
vast	w_124
elvi	w_125
school	w_126
prize	w_127
beam	w_128
daydream	w_129
wooden	w_130
ignit	w_131
correct	w_132
oooo	w_133
haben	w_134
honor	w_135
jamá	w_136
oooh	w_137
venus	w_138
blick	w_139
upp	w_140
hora	w_141
chew	w_142
fuera	w_143
bill	w_144
bo	w_145
naiv	w_146
chez	w_147
direct	w_148
canción	w_149
horn	w_150
nail	w_151
consequ	w_152
second	w_153
street	w_154
sooth	w_155
olvida	w_156
fuert	w_157
air	w_158
illumin	w_159
ooooh	w_160
even	w_161
nel	w_162
nem	w_163
hide	w_164
christ	w_165
wreck	w_166
thunder	w_167
amus	w_168
asid	w_169
lightn	w_170
poison	w_171
muer	w_172
kun	w_173
haze	w_174
fuerza	w_175
toll	w_176
new	w_177
net	w_178
ever	w_179
liberti	w_180
told	w_181
med	w_182
meg	w_183
hero	w_184
abov	w_185
habla	w_186
carv	w_187
human	w_188
never	w_189
here	w_190
meu	w_191
herz	w_192
jaurai	w_193
nicht	w_194
china	w_195
smokin	w_196
mes	w_197
mer	w_198
path	w_199
100	w_200
pleasur	w_201
près	w_202
même	w_203
día	w_204
vagu	w_205
daughter	w_206
anymor	w_207
anchor	w_208
dri	w_209
jame	w_210
resto	w_211
cradl	w_212
smoke	w_213
california	w_214
studi	w_215
pack	w_216
counti	w_217
golden	w_218
stray	w_219
jaim	w_220
stink	w_221
strap	w_222
brought	w_223
viejo	w_224
attitud	w_225
moral	w_226
outra	w_227
stern	w_228
hablar	w_229
total	w_230
unit	w_231
plot	w_232
symphoni	w_233
spoke	w_234
av	w_235
niin	w_236
bleed	w_237
